"name","norad_id","launch_date","decay_date","time_days","event","end_date","activity_snapshot","launch_site","orbit_center","orbit_class","orbit_type","object_type","owner","country_owner","users","purpose","launch_vehicle","perigee","apogee","inclination","period","mass","expected_lifetime","expected_lifetime_missing"
"STARLINK-5101",54822,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5106",54823,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-4643",54824,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-4801",54825,2022-12-28,2025-10-02,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5107",54826,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5383",54827,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5381",54828,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5380",54829,2022-12-28,2024-09-18,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5394",54830,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5395",54831,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5393",54832,2022-12-28,2025-10-19,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5391",54833,2022-12-28,2026-02-19,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5386",54834,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5389",54835,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5384",54836,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5369",54837,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5372",54838,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5110",54839,2022-12-28,2024-06-27,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5368",54840,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-4659",54841,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5387",54842,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5304",54843,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5388",54844,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5082",54845,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5360",54846,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5061",54847,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5432",54848,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5434",54849,2022-12-28,2025-10-05,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5087",54850,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5084",54851,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5418",54852,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5427",54853,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5419",54854,2022-12-28,2025-07-06,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5416",54855,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5086",54856,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5078",54857,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5407",54858,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5409",54859,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5406",54860,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5400",54861,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5403",54862,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5405",54863,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5359",54864,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5411",54865,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5398",54866,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5396",54867,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5379",54868,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5402",54869,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5401",54870,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5397",54871,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5390",54872,2022-12-28,2026-02-07,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STARLINK-5091",54873,2022-12-28,NA,124,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","USA","Commercial","Communications","Falcon 9",565,"567",43,95.8,260,4,0
"STAR VIBE",55009,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","POL","USA/Poland","Commercial","Technology Demonstration","Falcon 9",526,"538",97.5,94.7,10,4,1
"MENUT",55010,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","SPN","Spain","Commercial","Earth Observation","Falcon 9",525,"538",97.5,94.7,10,4,1
"BRO-8",55011,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","FR","France","Commercial","Earth Observation","Falcon 9",520,"533",97.5,95,10,4,1
"CONNECTA T1.2",55012,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","TURK","Turkey","Commercial","Communications","Falcon 9",516,"531",97.5,95,10,4,1
"LEMUR-2-PHILARI",55013,2023-01-03,2024-08-13,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Luxembourg","Commercial","Earth Observation","Falcon 9",525,"537",97.5,94.6,10,4,1
"LEMUR-2-DISCLAIMER",55014,2023-01-03,2024-07-28,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Luxembourg","Commercial","Earth Observation","Falcon 9",524,"538",97.5,94.6,10,4,1
"BIRKELAND",55015,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","NOR","Norway","Military","Earth Observation","Falcon 9",516,"536",97.5,95.4,10,4,1
"LEMUR-2-STEVEALBERS",55017,2023-01-03,2024-09-20,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Luxembourg","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.6,10,4,1
"KSF3-C",55018,2023-01-03,2025-02-02,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","LUXE","Luxembourg","Commercial","Earth Observation","Falcon 9",505,"517",97.5,95.4,10,4,1
"KSF3-B",55019,2023-01-03,2025-12-07,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","LUXE","Luxembourg","Commercial","Earth Observation","Falcon 9",505,"517",97.5,95.4,10,4,1
"FLOCK 4Y-24",55020,2023-01-03,2025-09-21,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-32",55021,2023-01-03,2025-07-07,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-22",55022,2023-01-03,2025-10-04,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-18",55023,2023-01-03,2025-09-22,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"FLOCK 4Y-14",55024,2023-01-03,2025-09-20,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-30",55025,2023-01-03,2025-07-26,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-19",55026,2023-01-03,2024-10-25,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-25",55027,2023-01-03,2025-08-24,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-5",55028,2023-01-03,2025-08-23,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"FLOCK 4Y-10",55029,2023-01-03,2025-09-17,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"536",97.5,94.7,6,3,0
"FLOCK 4Y-29",55030,2023-01-03,2025-05-11,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"FLOCK 4Y-17",55031,2023-01-03,2025-07-06,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",522,"537",97.5,94.7,6,3,0
"FLOCK 4Y-7",55032,2023-01-03,2025-10-16,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",522,"537",97.5,94.7,6,3,0
"FLOCK 4Y-28",55033,2023-01-03,2025-02-09,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"LYNK TOWER 4",55034,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Communications","Falcon 9",523,"537",97.5,95.1,80,4,1
"FLOCK 4Y-3",55035,2023-01-03,2024-11-21,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"UMBRA-05",55036,2023-01-03,2025-11-18,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",519,"537",97.5,95.1,65,4,1
"LEMUR-2-EMMACULATE",55037,2023-01-03,2024-05-23,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Luxembourg","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.6,10,4,1
"LEMUR-2-MMOLO",55038,2023-01-03,2024-10-20,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Luxembourg","Commercial","Earth Observation","Falcon 9",516,"537",97.5,94.6,10,4,1
"FLOCK 4Y-1",55039,2023-01-03,2024-12-18,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"FLOCK 4Y-16",55040,2023-01-03,2025-06-22,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"SKYKRAFT-1",55041,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Australia","Commercial","Technology Demonstration","Falcon 9",521,"537",97.5,94.5,100,4,1
"FLOCK 4Y-33",55042,2023-01-03,2025-09-24,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-11",55043,2023-01-03,2025-10-19,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"STERNULA-1",55044,2023-01-03,2025-01-07,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","DEN","Denmark","Commercial","Earth Observation","Falcon 9",506,"521",97.5,94.8,10,4,1
"CONTINUUM-1",55045,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Argentina","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.1,42,3,0
"LYNK TOWER 3",55046,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Communications","Falcon 9",522,"537",97.5,95.1,80,4,1
"NUSAT-33 (ALBANIA-2)",55047,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","ARGN","Argentina","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.1,42,3,0
"NUSAT-35 (WILLIAMINA)",55048,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","ARGN","Argentina","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.1,42,3,0
"ICEYE-X21",55049,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","FIN","Finland","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.2,80,4,1
"UMBRA-04",55050,2023-01-03,2024-09-03,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.1,65,4,1
"SKYKRAFT-1D",55052,2023-01-03,2025-05-19,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Australia","Commercial","Technology Demonstration","Falcon 9",517,"536",97.5,94.5,50,4,1
"EOSSAT-1",55053,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","SAFR","USA","Commercial","Earth Observation","Falcon 9",520,"537",97.5,95.1,178,4,1
"SKYKRAFT-1A",55054,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Australia","Commercial","Technology Demonstration","Falcon 9",513,"534",97.5,94.5,50,4,1
"FLOCK 4Y-4",55055,2023-01-03,2025-03-03,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"VIGORIDE-5",55056,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Technology Development","Falcon 9",518,"534",97.5,95,363,4,1
"FLOCK 4Y-35",55057,2023-01-03,2025-06-18,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"SKYKRAFT-1B",55058,2023-01-03,2025-12-10,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Australia","Commercial","Technology Demonstration","Falcon 9",514,"536",97.5,94.5,50,4,1
"SKYKRAFT-1C",55061,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","AUS","Australia","Commercial","Technology Demonstration","Falcon 9",517,"536",97.5,94.5,50,4,1
"ICEYE-X27",55062,2023-01-03,2025-11-15,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","Finland","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.2,80,4,1
"FLOCK 4Y-20",55063,2023-01-03,2025-09-13,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",523,"537",97.5,94.7,6,3,0
"NUSAT-32 (ALBANIA-1)",55064,2023-01-03,2026-01-29,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","ARGN","Argentina","Commercial","Earth Observation","Falcon 9",521,"537",97.5,95.1,42,3,0
"FLOCK 4Y-12",55065,2023-01-03,2025-09-25,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",522,"537",97.5,94.7,6,3,0
"FLOCK 4Y-6",55066,2023-01-03,2025-06-25,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"NSL-2",55067,2023-01-03,2024-07-11,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","ISRA","Israel","Commercial","Technology Development","Falcon 9",518,"537",97.5,95.2,10,4,1
"FLOCK 4Y-15",55068,2023-01-03,2025-09-19,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-9",55069,2023-01-03,2025-05-01,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-26",55070,2023-01-03,2025-07-26,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-8",55071,2023-01-03,2025-05-03,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"SPHERE-1 EYE",55072,2023-01-03,2025-02-27,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","JPN","Japan","Commercial","Space Science","Falcon 9",503,"520",97.5,94.7,10,4,1
"TAUSAT-2",55073,2023-01-03,2025-03-23,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","ISRA","Israel","Civil","Space Science","Falcon 9",514,"536",97.5,95.1,4,4,1
"FLOCK 4Y-2",55074,2023-01-03,2025-09-24,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",517,"537",97.5,94.7,6,3,0
"FLOCK 4Y-31",55075,2023-01-03,2024-09-10,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"YAM-5",55076,2023-01-03,NA,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Technology Demonstration","Falcon 9",519,"537",95.1,87,87,4,1
"FLOCK 4Y-21",55077,2023-01-03,2025-09-21,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"FLOCK 4Y-36",55078,2023-01-03,2025-06-24,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"FLOCK 4Y-13",55079,2023-01-03,2025-08-11,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"FLOCK 4Y-23",55080,2023-01-03,2025-06-21,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"TRANSPORTER-6 OBJECT CA",55081,2023-01-03,2025-12-29,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","TBD","Ukraine","Civil","Technology Development","Falcon 9",517,"537",97.5,95.1,2,4,1
"FLOCK 4Y-34",55082,2023-01-03,2025-08-03,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",524,"537",97.5,94.7,6,3,0
"FLOCK 4Y-27",55083,2023-01-03,2025-06-09,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Earth Observation","Falcon 9",518,"537",97.5,94.7,6,3,0
"GAMA-ALPHA",55084,2023-01-03,2026-01-15,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","FR","France","Commercial","Technology Development","Falcon 9",517,"536",97.5,95.1,10,4,1
"KSF3-D",55085,2023-01-03,2025-10-10,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","LUXE","Luxembourg","Commercial","Earth Observation","Falcon 9",513,"536",97.5,95.4,10,4,1
"KSF3-A",55086,2023-01-03,2025-12-10,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","LUXE","Luxembourg","Commercial","Earth Observation","Falcon 9",513,"535",97.5,95.4,10,4,1
"SPACEBEE-167",55087,2023-01-03,2024-10-10,118,0,2023-05-01,"active","AFETR","EA","LEO","Sun-Synchronous","PAY","US","USA","Commercial","Communications","Falcon 9",516,"536",97.5,94.3,2,2,0
